card_num	number	name_ko	rarity	card_type	subtype	hp	type	image_url	_source	_image_source_url	_name_source	_rarity_source	_jp_number
JP2026M6A104	104	알로라 나시	AR	포켓몬				external/m6a-30th-celebration/JP2026M6A104.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374245	https://www.serebii.net/card/30thcelebrationjapan/104.jpg	https://pokemoncard.co.kr/cards/detail/BS2026006115	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374245	104
JP2026M6A105	105	파이어	AR	포켓몬				external/m6a-30th-celebration/JP2026M6A105.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374255	https://www.serebii.net/card/30thcelebrationjapan/105.jpg	https://pokemoncard.co.kr/cards/detail/BS2026006119	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374255	105
JP2026M6A106	106	라프라스	AR	포켓몬				external/m6a-30th-celebration/JP2026M6A106.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374265	https://www.serebii.net/card/30thcelebrationjapan/106.jpg	https://pokemoncard.co.kr/cards/detail/BS2026006124	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374265	106
JP2026M6A107	107	프리져	AR	포켓몬				external/m6a-30th-celebration/JP2026M6A107.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374275	https://www.serebii.net/card/30thcelebrationjapan/107.jpg	https://pokemoncard.co.kr/cards/detail/BS2026006125	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374275	107
JP2026M6A108	108	썬더	AR	포켓몬				external/m6a-30th-celebration/JP2026M6A108.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374285	https://www.serebii.net/card/30thcelebrationjapan/108.jpg	https://pokemoncard.co.kr/cards/detail/BS2026006162	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374285	108
JP2026M6A109	109	스트린더	AR	포켓몬				external/m6a-30th-celebration/JP2026M6A109.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374295	https://www.serebii.net/card/30thcelebrationjapan/109.jpg	https://pokemoncard.co.kr/cards/detail/BS2026006164	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374295	109
JP2026M6A110	110	모르페코	AR	포켓몬				external/m6a-30th-celebration/JP2026M6A110.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374305	https://www.serebii.net/card/30thcelebrationjapan/110.jpg	https://pokemoncard.co.kr/cards/detail/BS2026006165	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374305	110
JP2026M6A111	111	흔들풍손	AR	포켓몬				external/m6a-30th-celebration/JP2026M6A111.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374315	https://www.serebii.net/card/30thcelebrationjapan/111.jpg	https://pokemoncard.co.kr/cards/detail/BS2026006174	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374315	111
JP2026M6A112	112	샹델라	AR	포켓몬				external/m6a-30th-celebration/JP2026M6A112.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374325	https://www.serebii.net/card/30thcelebrationjapan/112.jpg	https://pokemoncard.co.kr/cards/detail/BS2026006175	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374325	112
JP2026M6A113	113	루가루암	AR	포켓몬				external/m6a-30th-celebration/JP2026M6A113.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374335	https://www.serebii.net/card/30thcelebrationjapan/113.jpg	https://pokemoncard.co.kr/cards/detail/BS2026006184	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374335	113
JP2026M6A114	114	니드리나	AR	포켓몬				external/m6a-30th-celebration/JP2026M6A114.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374345	https://www.serebii.net/card/30thcelebrationjapan/114.jpg	https://pokemoncard.co.kr/cards/detail/BS2026006187	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374345	114
